big_category,mid_category,product_name,brand,like,price,product_img,codi_img,tags
스니커즈,패션스니커즈화,가젤 85 - 브라운:아이보리 / IG5005,ADIDAS,"5,259",,https://image.msscdn.net/images/goods_img/20231013/3625738/3625738_16971857521401_500.jpg,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29582/detail_29582_6594db57e871d_500.jpg?202401121101,"['#겨울', '#아메카지', '#고비', '#롱스커트', '#맥우드건', '#블루종/MA-1', '#셔츠/블라우스', '#수아레', '#아디다스', '#양말', '#어프어프', '#캡/야구 모자', '#파우치 백', '#패션스니커즈화', '#폴로 랄프 로렌', '#피그먼트', '#코디맵', '#심볼', '#레터링', '#미니멀']"
아우터,무스탕/퍼,Mustang Duffel Coat (Brown),SIENNE,254,"345,000원",https://image.msscdn.net/images/goods_img/20231124/3733192/3733192_17010655186657_500.jpg,,
바지,데님 팬츠,LW173 커버 와이드 핏 데님 팬츠 - 진청,LOEIL,"2,118","70,000원",https://image.msscdn.net/images/goods_img/20220421/2508295/2508295_1_500.jpg,,
모자,캡/야구 모자,WASHED DENIM BALL CAP-BLUE/BROWN,EMIS,"1,236",,https://image.msscdn.net/images/goods_img/20231211/3752051/3752051_17022851221843_500.jpg,,
가방,에코백,NICOLE CANVAS ECOBAG_OATMEAL,NICK&NICOLE,826,"24,000원",https://image.msscdn.net/images/goods_img/20230522/3315123/3315123_17012247502289_500.jpg,,
신발,부츠,CLOUDY FLATFORM FUR SLINGBACK - 5color,ROCKFISH WEATHERWEAR,"24,560","94,000원",https://image.msscdn.net/images/goods_img/20230906/3536576/3536576_16971784805960_500.jpg,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29570/detail_29570_6594db316ab2d_500.jpg?202401121101,"['#겨울', '#아메카지', '#닉앤니콜', '#데님 팬츠', '#락피쉬웨더웨어', '#로에일', '#무스탕/퍼', '#부츠', '#시엔느', '#에코백', '#이미스', '#캡/야구 모자', '#코디맵', '#방한', '#워싱', '#컬러블록', '#로고플레이']"
아우터,플리스/뽀글이,코다컬러 리버시블 마이크로플리스 자켓 IVORY,KODAK,284,,https://image.msscdn.net/images/goods_img/20230816/3467766/3467766_16929233717027_500.jpg,,
상의,니트/스웨터,Kevin Jacquard Knit (Red),SIENNE,215,"128,000원",https://image.msscdn.net/images/goods_img/20231207/3748459/3748459_17020213974616_500.jpg,,
스커트,롱스커트,데이지코듀로이롱스커트_2COLORS_NAVY,HAINT,529,"74,000원",https://image.msscdn.net/images/goods_img/20231031/3671145/3671145_16987276067176_500.jpg,,
액세서리,장갑,보아플리스 장갑 우먼 BROWN,KODAK,344,"99,000원",https://image.msscdn.net/images/goods_img/20221110/2933022/2933022_1_500.jpg,,
양말/레그웨어,양말,1290 남녀공용 골지 양말 5켤레 (30색상),SUPERBASIC,"20,152",,https://image.msscdn.net/images/goods_img/20180410/752821/752821_1_500.jpg,,
신발,부츠,2976 첼시 클래식 풀업 / 31036001,DR.MARTENS,337,,https://image.msscdn.net/images/goods_img/20230816/3467904/3467904_16926688233101_500.jpg,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29560/detail_29560_6594db131c9c2_500.jpg?202401121101,"['#겨울', '#아메카지', '#니트/스웨터', '#닥터마틴', '#롱스커트', '#부츠', '#슈퍼베이직', '#시엔느', '#양말', '#장갑', '#코닥', '#플리스/뽀글이', '#헤인트', '#코디맵', '#방한', '#리버서블', '#코듀로이', '#컬러블록', '#로고플레이']"
아우터,무스탕/퍼,더플 하이넥 퍼 점퍼_IVORY,CITY BREEZE,"2,476","259,000원",https://image.msscdn.net/images/goods_img/20231017/3634339/3634339_17026084990749_500.jpg,,
상의,니트/스웨터,로프 스웨터-브라운,BITTERCELLS,590,"79,000원",https://image.msscdn.net/images/goods_img/20230721/3419897/3419897_16920090284916_500.jpg,,
바지,데님 팬츠,우먼즈 플레어 데님팬츠,WRANGLER,83,"119,000원",https://image.msscdn.net/images/goods_img/20230307/3128991/3128991_16781730111980_500.jpg,,
모자,캡/야구 모자,BT 파리스 캡-네이비,BITTERCELLS,"5,738","43,000원",https://image.msscdn.net/images/goods_img/20230130/3046611/3046611_16760218173590_500.jpg,,
여성 가방,숄더백,Bubble Bag · 버블백,STAND OIL,"1,581",,https://image.msscdn.net/images/goods_img/20231116/3718082/3718082_17028591913711_500.jpg,,
신발,슬리퍼,[for women] 타즐리타_HARDWOOD/1146390HWD,UGG,798,,https://image.msscdn.net/images/goods_img/20230816/3468944/3468944_16944853138894_500.jpg,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29522/detail_29522_6594d3af1a740_500.jpg?202401121101,"['#겨울', '#아메카지', '#니트/스웨터', '#데님 팬츠', '#랭글러', '#무스탕/퍼', '#비터셀즈', '#숄더백', '#스탠드오일', '#슬리퍼', '#시티브리즈', '#어그', '#캡/야구 모자', '#코디맵', '#퍼', '#컬러블록', '#로고플레이']"
아우터,후드 집업,투 웨이 사이드 후드 집업 [멜란지 그레이],MILLO WOMEN,"2,934","88,000원",https://image.msscdn.net/images/goods_img/20230907/3543000/3543000_16988054461701_500.jpg,,
상의,긴소매 티셔츠,오리지널 라글란 롱 슬리브_차콜,1993STUDIO,"11,506","49,000원",https://image.msscdn.net/images/goods_img/20220118/2313311/2313311_16765960268340_500.jpg,,
스커트,미디스커트,레그 워머 미디 스커트 / 블랙,OJOS,"1,604",,https://image.msscdn.net/images/goods_img/20221115/2942764/2942764_1_500.jpg,,
액세서리,머플러,[숏플러] 그레이 멜란지 캐시미어 머플러,JILLSTUART MEN ACC,276,"118,000원",https://image.msscdn.net/images/goods_img/20221108/2927058/2927058_1_500.jpg,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29479/detail_29479_658ebe9e7cc6e_500.jpg?202401121101,"['#겨울', '#1993스튜디오', '#긴소매 티셔츠', '#등산/트레킹화', '#미디스커트', '#밀로 우먼', '#스포츠 스니커즈', '#오호스', '#질스튜어트 맨 액세서리', '#킨', '#후드 집업', '#코디맵', '#방한', '#래글런', '#컬러블록', '#레터링', '#아메카지']"
아우터,숏패딩/숏헤비 아우터,에센셜 넥리스 경량 덕다운 자켓 우먼 IVORY,KODAK,324,"189,000원",https://image.msscdn.net/images/goods_img/20230927/3598667/3598667_16957914339605_500.jpg,,
아우터,패딩 베스트,브라우니 크롭 덕다운 베스트 우먼 YELLOW,KODAK,693,"219,000원",https://image.msscdn.net/images/goods_img/20220930/2833815/2833815_1_500.jpg,,
상의,맨투맨/스웨트셔츠,[ASIA] 여성 Reverse Weave® 115 (블루택) 기모 스웨트셔츠 (CREAM) CKTS3F365CR,CHAMPION,240,"149,000원",https://image.msscdn.net/images/goods_img/20230821/3480787/3480787_16963977485868_500.jpg,,
스커트,롱스커트,하트 카고 스커트(워시드)-라이트 퍼플,BITTERCELLS,445,"88,000원",https://image.msscdn.net/images/goods_img/20230721/3420132/3420132_16929588717484_500.jpg,,
모자,기타 모자,포인트 니트 바라클라바 - 라이트그린,ROUNDTRICOT,"5,627","29,900원",https://image.msscdn.net/images/goods_img/20221102/2914858/2914858_2_500.jpg,,
가방,백팩,엔보이 DESERT BEIGE,JANSPORT,"8,827",,https://image.msscdn.net/images/goods_img/20210112/1744100/1744100_16964034620298_500.jpg,,
신발,부츠,스웨이드 포인트 버튼 부츠,GAP,"2,931",,https://image.msscdn.net/images/goods_img/20231114/3707756/3707756_17007236584534_500.jpg,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29425/detail_29425_658d5be5345f8_500.jpg?202401121101,"['#겨울', '#갭', '#기타 모자', '#라운드트리코', '#롱스커트', '#맨투맨/스웨트셔츠', '#백팩', '#부츠', '#비터셀즈', '#숏패딩/숏헤비 아우터', '#잔스포츠', '#챔피온', '#코닥', '#패딩 베스트', '#코디맵', '#방한', '#경량패딩', '#노카라', '#크롭', '#카고', '#컬러블록', '#한파', '#심볼', '#캠핑', '#레이어드룩', '#로고플레이', '#아메카지']"
아우터,무스탕/퍼,브론즈 시어링 점퍼_BEIGE,GROVE,415,,https://image.msscdn.net/images/goods_img/20231109/3698751/3698751_17001926750321_500.jpg,,
아우터,후드 집업,CGP 아치 로고 후드 집업_오트밀,CODEGRAPHY,"13,693","79,000원",https://image.msscdn.net/images/goods_img/20220725/2681413/2681413_16775570181913_500.jpg,,
상의,긴소매 티셔츠,엔젤 화이트 와펜 롱 슬리브 화이트,WHATITISNT,599,"45,000원",https://image.msscdn.net/images/goods_img/20230203/3057653/3057653_16759216868192_500.jpg,,
스포츠/용품,스커트,NK6NP80B 여성 캠퍼 브이모션 스커트,THE NORTH FACE,229,"159,000원",https://image.msscdn.net/images/goods_img/20230825/3497523/3497523_16929408380102_500.jpg,,
여성 가방,숄더백,CROSS HERETIC PADDING BAG / cream,HERETIC,"1,260",,https://image.msscdn.net/images/goods_img/20231006/3609937/3609937_16965769766874_500.jpg,,
신발,부츠,오버로크 스티치 숏 부츠 (클래식 숏 II) W - 번트 시더 / 1016223BCDR,UGG,"1,755",,https://image.msscdn.net/images/goods_img/20220823/2733847/2733847_1_500.jpg,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29293/detail_29293_658a211915b64_500.jpg?202401121101,"['#겨울', '#아메카지', '#그로브', '#긴소매 티셔츠', '#노스페이스', '#무스탕/퍼', '#미디스커트', '#부츠', '#숄더백', '#어그', '#와릿이즌', '#코드그라피', '#헤레틱', '#후드 집업', '#로고플레이', '#심볼', '#퀼팅', '#방한', '#코디맵']"
아우터,무스탕/퍼,Overfit Steady Mustang in Brown/Beige,DOFFSEPT,"18,297","199,000원",https://image.msscdn.net/images/goods_img/20220922/2813149/2813149_2_500.jpg,,
상의,니트/스웨터,워셔블 투 톤 크루넥 그래픽 니트 (KHAKI),TRILLION,"14,368","52,000원",https://image.msscdn.net/images/goods_img/20230907/3539169/3539169_16944138456448_500.jpg,,
바지,코튼 팬츠,팬츠 Olive,GRAMICCI,"3,204","119,000원",https://image.msscdn.net/images/goods_img/20180309/732698/732698_16807553592919_500.jpg,,
액세서리,머플러,FLUFFY KNIT MUFFLER & SHORT GLOVES SET,ROCKFISH WEATHERWEAR,"6,065","57,000원",https://image.msscdn.net/images/goods_img/20231011/3618360/3618360_16975896766147_500.jpg,,
스포츠/용품,스포츠가방,나일론 더플백 (HPABGDA51Q RE) HPABGD4904,SHOOPEN,"1,409","35,900원",https://image.msscdn.net/images/goods_img/20230706/3397107/3397107_16886127076945_500.jpg,,
신발,부츠,플랫폼 첼시 앵클부츠 3.0 HPWXAC416M,SHOOPEN,410,"49,900원",https://image.msscdn.net/images/goods_img/20230316/3153506/3153506_16789431049571_500.jpg,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29271/detail_29271_658770d2d449f_500.jpg?202401121101,"['#겨울', '#아메카지', '#그라미치', '#니트/스웨터', '#도프셉', '#락피쉬웨더웨어', '#머플러', '#무스탕/퍼', '#보스턴/드럼/더플백', '#부츠', '#슈펜', '#코튼 팬츠', '#트릴리온', '#로고플레이', '#오버핏', '#뉴트럴톤', '#방한', '#코디맵']"
아우터,무스탕/퍼,오버핏 레더 양털 우먼 무톤 무스탕 자켓 [딥브라운],PLACE STUDIO,"8,616","185,000원",https://image.msscdn.net/images/goods_img/20211109/2222951/2222951_7_500.jpg,,
상의,후드 티셔츠,PHYPS® WOMENS CROP MONDAY ROUTINE HOODIE OATMEAL,PHYSICAL EDUCATION DEPARTMENT,"1,434","69,000원",https://image.msscdn.net/images/goods_img/20230818/3477611/3477611_16929325206370_500.jpg,,
바지,데님 팬츠,(기모옵션추가) 이지 와이드 데님 팬츠 빈티지 워시드 블루,GLW,"18,431","52,800원",https://image.msscdn.net/images/goods_img/20230801/3440017/3440017_17022591296982_500.jpg,,
액세서리,머플러,PREMIUM PURE WOOL 100 MUFFLER [ SNOW ] - 프리미엄 울 100 머플러,RENNYRENNIE,"2,171","105,000원",https://image.msscdn.net/images/goods_img/20231102/3677578/3677578_16988716798847_500.jpg,,
여성 가방,크로스백,[브레드]미디움 숄더백 - 3color,JILL BY JILLSTUART,"2,804",,https://image.msscdn.net/images/goods_img/20231013/3626221/3626221_16971798506531_500.jpg,,
신발,부츠,젠리 천연가죽 털안감 양털 부츠 (3cm),SAPPUN,"4,071","49,900원",https://image.msscdn.net/images/goods_img/20221121/2951484/2951484_17018499521774_500.jpg,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29256/detail_29256_6587715799a38_500.jpg?202401121101,"['#겨울', '#아메카지', '#굿라이프웍스', '#데님 팬츠', '#래니래니', '#머플러', '#메신저/크로스 백', '#무스탕/퍼', '#부츠', '#사뿐', '#장갑', '#질바이질스튜어트', '#크로스백', '#플레이스 스튜디오', '#피지컬 에듀케이션 디파트먼트', '#후드 티셔츠', '#빈티지', '#레터링', '#오버핏', '#한파', '#와이드핏', '#레더', '#워싱', '#크롭', '#자수', '#방한', '#코디맵']"
아우터,숏패딩/숏헤비 아우터,바라클라바 더플 숏패딩S(JP-515),ATELIER NAIN,399,,https://image.msscdn.net/images/goods_img/20230601/3337642/3337642_16855792194802_500.jpg,,
상의,후드 티셔츠,(기모) Slim soft warmer hood T-shirt - OAT MEAL,WOOALONG,"1,181",,https://image.msscdn.net/images/goods_img/20230901/3521817/3521817_16939857874752_500.jpg,,
바지,기타 바지,Adele Strap Cargo Pants - 4COL,AVANDRESS,"1,563","62,000원",https://image.msscdn.net/images/goods_img/20231023/3651007/3651007_16982031256780_500.jpg,,
